#{"t_start": 1624405249.9610927, "env_id": null}
r,l,t
-12.325633,200,422.169379
53.714628,200,423.465928
-13.56339,200,424.739295
58.806317,200,426.097833
49.544303,200,427.35557
-12.580578,200,428.59426
-13.680202,200,429.76458
-14.114538,200,430.946178
56.58608,200,432.1855
66.842689,200,433.387989
-13.672357,200,434.563708
-13.171578,200,435.715171
-14.108366,200,436.987868
52.844677,200,438.192187
-13.553563,200,439.334628
53.156974,200,440.571051
96.298679,200,441.735629
65.934975,200,442.913097
-14.046034,200,444.13177
51.333235,200,445.425082
64.323034,200,446.732044
-12.120766,200,448.174679
-14.165718,200,449.308519
51.602281,200,450.437548
64.634539,200,451.590875
53.495321,200,452.738968
96.51243,200,453.875711
63.45994,200,455.018301
62.021238,200,456.209512
91.27714,200,457.48836
-14.629218,200,458.759378
92.630941,200,459.920019
-13.326759,200,461.075899
-14.018641,200,462.247949
-13.748079,200,463.371266
97.175616,200,464.573075
-13.456845,200,465.721376
63.278045,200,466.898642
-14.169034,200,468.04409
-14.254381,200,469.233559
-13.924143,200,470.436038
58.188001,200,471.737445
-13.054593,200,472.92487
96.742598,200,474.061208
-13.441474,200,475.252602
-13.200321,200,476.419692
-13.468838,200,477.594253
-12.02865,200,478.742462
-13.371122,200,479.914016
-14.217637,200,481.080609
-13.612564,200,482.248702
-10.489145,200,483.410325
-14.087816,200,484.570965
68.305168,200,485.729655
-13.749508,200,487.008809
71.102557,200,488.453695
64.963481,200,489.707089
-14.023708,200,491.016531
58.799899,200,492.316052
56.291326,200,493.607142
-13.96735,200,495.0014
-14.517551,200,496.256809
70.541942,200,497.527531
-14.519174,200,498.865741
-13.850648,200,500.077471
-12.104041,200,501.26192
96.725734,200,502.566898
-13.618099,200,503.760276
96.106413,200,505.020613
-14.90374,200,506.209527
-13.985141,200,507.394472
66.38579,200,508.840314
88.006842,200,510.100156
96.473821,200,511.344126
-13.738997,200,512.633727
-13.251362,200,513.91837
-13.991835,200,515.23773
-14.129957,200,516.474261
-13.030268,200,517.810431
-13.809295,200,519.168672
60.302409,200,520.510488
95.488449,200,521.940657
-13.321795,200,523.30715
-13.917906,200,524.536853
-13.89156,200,525.701968
-12.776262,200,526.91868
56.728103,200,528.097641
-12.749203,200,529.389723
-13.929494,200,530.665933
-13.711576,200,531.833022
-13.636219,200,533.028913
-12.701813,200,534.258962
-13.971413,200,535.483095
-13.258945,200,536.711685
-12.031619,200,537.971528
-12.127548,200,539.259144
